Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
10/07/2021 01:00:00,10/07/2021,"NTS Energy Offtaken, Storage Injection Total",142015624,11/07/2021 12:01:01,L
09/07/2021 01:00:00,09/07/2021,"NTS Energy Offtaken, Storage Injection Total",21751881,10/07/2021 12:01:00,L
08/07/2021 01:00:00,08/07/2021,"NTS Energy Offtaken, Storage Injection Total",14342833,09/07/2021 12:01:00,L
07/07/2021 01:00:00,07/07/2021,"NTS Energy Offtaken, Storage Injection Total",37370884,08/07/2021 12:01:01,L
06/07/2021 01:00:00,06/07/2021,"NTS Energy Offtaken, Storage Injection Total",104917990,07/07/2021 12:01:01,L
05/07/2021 01:00:00,05/07/2021,"NTS Energy Offtaken, Storage Injection Total",207516949,06/07/2021 12:01:01,L
04/07/2021 01:00:00,04/07/2021,"NTS Energy Offtaken, Storage Injection Total",375911454,05/07/2021 12:01:01,L
03/07/2021 01:00:00,03/07/2021,"NTS Energy Offtaken, Storage Injection Total",253148654,05/07/2021 13:01:01,L
02/07/2021 01:00:00,02/07/2021,"NTS Energy Offtaken, Storage Injection Total",14451861,03/07/2021 12:01:01,L
01/07/2021 01:00:00,01/07/2021,"NTS Energy Offtaken, Storage Injection Total",14375333,02/07/2021 12:01:00,L
30/06/2021 01:00:00,30/06/2021,"NTS Energy Offtaken, Storage Injection Total",11160590,01/07/2021 12:01:01,L
29/06/2021 01:00:00,29/06/2021,"NTS Energy Offtaken, Storage Injection Total",134893332,30/06/2021 12:01:01,L
28/06/2021 01:00:00,28/06/2021,"NTS Energy Offtaken, Storage Injection Total",47449698,29/06/2021 12:01:01,L
27/06/2021 01:00:00,27/06/2021,"NTS Energy Offtaken, Storage Injection Total",104308166,28/06/2021 12:01:00,L
26/06/2021 01:00:00,26/06/2021,"NTS Energy Offtaken, Storage Injection Total",11415281,27/06/2021 12:01:01,L
25/06/2021 01:00:00,25/06/2021,"NTS Energy Offtaken, Storage Injection Total",0,26/06/2021 12:01:01,L
24/06/2021 01:00:00,24/06/2021,"NTS Energy Offtaken, Storage Injection Total",10500000,25/06/2021 12:01:01,L
23/06/2021 01:00:00,23/06/2021,"NTS Energy Offtaken, Storage Injection Total",0,24/06/2021 12:01:00,L
22/06/2021 01:00:00,22/06/2021,"NTS Energy Offtaken, Storage Injection Total",0,23/06/2021 12:01:00,L
21/06/2021 01:00:00,21/06/2021,"NTS Energy Offtaken, Storage Injection Total",5282030,22/06/2021 12:01:00,L
20/06/2021 01:00:00,20/06/2021,"NTS Energy Offtaken, Storage Injection Total",4869900,21/06/2021 12:01:00,L
19/06/2021 01:00:00,19/06/2021,"NTS Energy Offtaken, Storage Injection Total",25136150,20/06/2021 12:01:00,L
18/06/2021 01:00:00,18/06/2021,"NTS Energy Offtaken, Storage Injection Total",34211366,19/06/2021 12:01:01,L
17/06/2021 01:00:00,17/06/2021,"NTS Energy Offtaken, Storage Injection Total",33400030,18/06/2021 14:01:01,A
16/06/2021 01:00:00,16/06/2021,"NTS Energy Offtaken, Storage Injection Total",28164584,17/06/2021 12:01:01,L
15/06/2021 01:00:00,15/06/2021,"NTS Energy Offtaken, Storage Injection Total",34400000,16/06/2021 12:01:00,L
14/06/2021 01:00:00,14/06/2021,"NTS Energy Offtaken, Storage Injection Total",55540252,15/06/2021 12:01:00,L
13/06/2021 01:00:00,13/06/2021,"NTS Energy Offtaken, Storage Injection Total",114579583,14/06/2021 12:01:01,L
12/06/2021 01:00:00,12/06/2021,"NTS Energy Offtaken, Storage Injection Total",74965298,13/06/2021 12:01:00,L
11/06/2021 01:00:00,11/06/2021,"NTS Energy Offtaken, Storage Injection Total",254859096,14/06/2021 16:01:00,A
10/06/2021 01:00:00,10/06/2021,"NTS Energy Offtaken, Storage Injection Total",137947525,11/06/2021 12:01:01,L
09/06/2021 01:00:00,09/06/2021,"NTS Energy Offtaken, Storage Injection Total",111724707,10/06/2021 12:01:00,L
08/06/2021 01:00:00,08/06/2021,"NTS Energy Offtaken, Storage Injection Total",293323719,09/06/2021 12:01:01,L
07/06/2021 01:00:00,07/06/2021,"NTS Energy Offtaken, Storage Injection Total",373819880,08/06/2021 12:01:01,L
06/06/2021 01:00:00,06/06/2021,"NTS Energy Offtaken, Storage Injection Total",246295229,07/06/2021 12:01:00,L
05/06/2021 01:00:00,05/06/2021,"NTS Energy Offtaken, Storage Injection Total",293669254,06/06/2021 12:01:00,L
04/06/2021 01:00:00,04/06/2021,"NTS Energy Offtaken, Storage Injection Total",163082610,05/06/2021 12:01:00,L
03/06/2021 01:00:00,03/06/2021,"NTS Energy Offtaken, Storage Injection Total",96741336,04/06/2021 12:01:00,L
02/06/2021 01:00:00,02/06/2021,"NTS Energy Offtaken, Storage Injection Total",341325106,03/06/2021 12:01:01,L
01/06/2021 01:00:00,01/06/2021,"NTS Energy Offtaken, Storage Injection Total",320381407,02/06/2021 12:01:01,L
31/05/2021 01:00:00,31/05/2021,"NTS Energy Offtaken, Storage Injection Total",236837071,01/06/2021 12:01:00,L
30/05/2021 01:00:00,30/05/2021,"NTS Energy Offtaken, Storage Injection Total",138092495,31/05/2021 12:01:01,L
29/05/2021 01:00:00,29/05/2021,"NTS Energy Offtaken, Storage Injection Total",0,30/05/2021 12:01:00,L
28/05/2021 01:00:00,28/05/2021,"NTS Energy Offtaken, Storage Injection Total",9763548,30/05/2021 12:01:00,A
27/05/2021 01:00:00,27/05/2021,"NTS Energy Offtaken, Storage Injection Total",6761456,28/05/2021 12:01:01,L
26/05/2021 01:00:00,26/05/2021,"NTS Energy Offtaken, Storage Injection Total",0,27/05/2021 12:01:00,L
25/05/2021 01:00:00,25/05/2021,"NTS Energy Offtaken, Storage Injection Total",0,26/05/2021 12:01:00,L
24/05/2021 01:00:00,24/05/2021,"NTS Energy Offtaken, Storage Injection Total",0,25/05/2021 12:01:00,L
23/05/2021 01:00:00,23/05/2021,"NTS Energy Offtaken, Storage Injection Total",56997344,24/05/2021 12:01:00,L
22/05/2021 01:00:00,22/05/2021,"NTS Energy Offtaken, Storage Injection Total",26379505,23/05/2021 12:01:01,L
21/05/2021 01:00:00,21/05/2021,"NTS Energy Offtaken, Storage Injection Total",0,22/05/2021 12:01:01,L
20/05/2021 01:00:00,20/05/2021,"NTS Energy Offtaken, Storage Injection Total",0,21/05/2021 12:01:01,L
19/05/2021 01:00:00,19/05/2021,"NTS Energy Offtaken, Storage Injection Total",50108129,20/05/2021 12:01:01,L
18/05/2021 01:00:00,18/05/2021,"NTS Energy Offtaken, Storage Injection Total",169394312,19/05/2021 12:01:01,L
