Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
15/10/2021 06:16:18,14/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",666889952,15/10/2021 11:30:00,
14/10/2021 06:16:11,13/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",348926360,14/10/2021 11:30:00,
13/10/2021 06:16:14,12/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",267342465,13/10/2021 11:30:00,
12/10/2021 06:16:07,11/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",383269604,12/10/2021 11:30:00,
11/10/2021 06:16:13,10/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",503726642,11/10/2021 11:30:00,
10/10/2021 06:16:15,09/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",494219533,10/10/2021 11:30:00,
09/10/2021 06:16:07,08/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",560119948,09/10/2021 11:30:00,
08/10/2021 06:16:11,07/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",469219559,08/10/2021 11:30:00,
07/10/2021 11:20:27,06/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",397650937,07/10/2021 11:30:00,
06/10/2021 09:15:15,05/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",559158459,06/10/2021 11:30:00,
05/10/2021 06:16:05,04/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",505946355,05/10/2021 11:30:00,
04/10/2021 06:16:18,03/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",666782398,04/10/2021 11:30:00,
03/10/2021 06:16:09,02/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",645908624,03/10/2021 11:30:00,
02/10/2021 06:16:15,01/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",854728981,02/10/2021 11:30:00,
01/10/2021 09:07:52,30/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",862085585,01/10/2021 11:30:00,
30/09/2021 06:16:21,29/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",849449215,30/09/2021 11:30:00,
29/09/2021 06:16:20,28/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",723134072,29/09/2021 11:30:00,
28/09/2021 06:16:22,27/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",791432656,28/09/2021 11:30:00,
27/09/2021 06:16:12,26/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",793453257,27/09/2021 11:30:00,
26/09/2021 06:16:12,25/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",558395711,26/09/2021 11:30:00,
25/09/2021 06:16:16,24/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",467800281,25/09/2021 11:30:00,
24/09/2021 06:16:16,23/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",191672428,24/09/2021 11:30:00,
23/09/2021 06:16:17,22/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",209045694,23/09/2021 11:30:00,
22/09/2021 06:16:08,21/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",156685783,22/09/2021 11:30:00,
21/09/2021 06:16:17,20/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",145163055,21/09/2021 11:30:00,
20/09/2021 06:16:10,19/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",114277778,20/09/2021 11:30:00,
19/09/2021 06:16:16,18/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",125166667,19/09/2021 11:30:00,
18/09/2021 06:16:19,17/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",137855556,18/09/2021 11:30:00,
17/09/2021 06:16:12,16/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",228031752,17/09/2021 11:30:00,
16/09/2021 06:16:05,15/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",175336652,16/09/2021 11:30:00,
15/09/2021 06:16:05,14/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",154752023,15/09/2021 11:30:00,
14/09/2021 06:16:17,13/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",405871367,14/09/2021 11:30:00,
13/09/2021 06:16:05,12/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",142737520,13/09/2021 11:30:00,
12/09/2021 06:16:18,11/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",215578921,12/09/2021 11:30:00,
11/09/2021 06:16:17,10/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",185488719,11/09/2021 11:30:00,
10/09/2021 06:16:09,09/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",139033333,10/09/2021 11:30:00,
09/09/2021 06:16:11,08/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",134633333,09/09/2021 11:30:00,
08/09/2021 06:16:12,07/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",131800000,08/09/2021 11:30:00,
07/09/2021 06:16:07,06/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",140411111,07/09/2021 11:30:00,
06/09/2021 06:16:07,05/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",104633333,06/09/2021 11:30:00,
05/09/2021 06:16:12,04/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",110422222,05/09/2021 11:30:00,
04/09/2021 06:16:09,03/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",148022222,04/09/2021 11:30:00,
03/09/2021 06:16:11,02/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",153900000,03/09/2021 11:30:00,
02/09/2021 06:16:10,01/09/2021,"NTS Energy Offtaken, Interconnector Exports Total",145679444,02/09/2021 11:30:00,
01/09/2021 06:16:12,31/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",221655689,01/09/2021 11:30:00,
31/08/2021 06:16:08,30/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",212601560,31/08/2021 11:30:00,
30/08/2021 06:16:03,29/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",168337150,30/08/2021 11:30:00,
29/08/2021 06:16:06,28/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",186812222,29/08/2021 11:30:00,
28/08/2021 06:16:14,27/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",165094703,28/08/2021 11:30:00,
27/08/2021 06:16:17,26/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",174963846,27/08/2021 11:30:00,
26/08/2021 06:16:05,25/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",173018307,26/08/2021 11:30:00,
25/08/2021 06:16:04,24/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",164464805,25/08/2021 11:30:00,
24/08/2021 06:16:17,23/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",155587142,24/08/2021 11:30:00,
23/08/2021 06:16:11,22/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",132587981,23/08/2021 11:30:00,
22/08/2021 06:16:05,21/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",143452984,22/08/2021 11:30:00,
21/08/2021 06:16:15,20/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",136066144,21/08/2021 11:30:00,
20/08/2021 06:16:10,19/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",165294843,20/08/2021 11:30:00,
19/08/2021 06:16:09,18/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",240550805,19/08/2021 11:30:00,
18/08/2021 06:16:15,17/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",300959897,18/08/2021 11:30:00,
17/08/2021 06:16:08,16/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",265769154,17/08/2021 11:30:00,
16/08/2021 06:16:20,15/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",139954635,16/08/2021 11:30:00,
15/08/2021 06:16:20,14/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",176595609,15/08/2021 11:30:00,
14/08/2021 06:16:10,13/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",272115990,14/08/2021 11:30:00,
13/08/2021 06:16:07,12/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",232130327,13/08/2021 11:30:00,
12/08/2021 08:45:58,11/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",136574831,12/08/2021 11:30:00,
11/08/2021 06:16:12,10/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",134800024,11/08/2021 11:30:00,
10/08/2021 06:16:10,09/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",128400000,10/08/2021 11:30:00,
09/08/2021 06:16:08,08/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",67455556,09/08/2021 11:30:00,
08/08/2021 06:16:13,07/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",89533333,08/08/2021 11:30:00,
07/08/2021 06:16:05,06/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",106855556,07/08/2021 11:30:00,
06/08/2021 06:16:16,05/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",122766667,06/08/2021 11:30:00,
05/08/2021 06:16:16,04/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",134944444,05/08/2021 11:30:00,
04/08/2021 06:16:18,03/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",145933333,04/08/2021 11:30:00,
03/08/2021 06:16:27,02/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",145255556,03/08/2021 11:30:00,
02/08/2021 08:57:50,01/08/2021,"NTS Energy Offtaken, Interconnector Exports Total",116082470,02/08/2021 11:30:00,
01/08/2021 06:16:22,31/07/2021,"NTS Energy Offtaken, Interconnector Exports Total",143607500,01/08/2021 11:30:00,
31/07/2021 06:16:14,30/07/2021,"NTS Energy Offtaken, Interconnector Exports Total",128685010,31/07/2021 11:30:00,
30/07/2021 06:16:15,29/07/2021,"NTS Energy Offtaken, Interconnector Exports Total",163190643,30/07/2021 11:30:00,
29/07/2021 06:16:25,28/07/2021,"NTS Energy Offtaken, Interconnector Exports Total",150761925,29/07/2021 11:30:00,
28/07/2021 06:16:11,27/07/2021,"NTS Energy Offtaken, Interconnector Exports Total",158095834,28/07/2021 11:30:00,
27/07/2021 06:16:14,26/07/2021,"NTS Energy Offtaken, Interconnector Exports Total",189012222,27/07/2021 11:30:00,
26/07/2021 06:16:26,25/07/2021,"NTS Energy Offtaken, Interconnector Exports Total",151840979,26/07/2021 11:30:00,
25/07/2021 06:16:18,24/07/2021,"NTS Energy Offtaken, Interconnector Exports Total",166919603,25/07/2021 11:30:00,
24/07/2021 06:16:20,23/07/2021,"NTS Energy Offtaken, Interconnector Exports Total",179514719,24/07/2021 11:30:00,
23/07/2021 06:16:14,22/07/2021,"NTS Energy Offtaken, Interconnector Exports Total",184546256,23/07/2021 11:30:00,
22/07/2021 09:15:32,21/07/2021,"NTS Energy Offtaken, Interconnector Exports Total",186475556,22/07/2021 11:30:00,
21/07/2021 06:16:12,20/07/2021,"NTS Energy Offtaken, Interconnector Exports Total",258249444,21/07/2021 11:30:00,
20/07/2021 06:16:22,19/07/2021,"NTS Energy Offtaken, Interconnector Exports Total",230962128,20/07/2021 11:30:00,
19/07/2021 06:16:13,18/07/2021,"NTS Energy Offtaken, Interconnector Exports Total",263931667,19/07/2021 11:30:00,
18/07/2021 06:16:21,17/07/2021,"NTS Energy Offtaken, Interconnector Exports Total",267227182,18/07/2021 11:30:00,
17/07/2021 06:16:09,16/07/2021,"NTS Energy Offtaken, Interconnector Exports Total",277924502,17/07/2021 11:30:00,
16/07/2021 06:16:07,15/07/2021,"NTS Energy Offtaken, Interconnector Exports Total",205152899,16/07/2021 11:30:00,
15/07/2021 06:16:18,14/07/2021,"NTS Energy Offtaken, Interconnector Exports Total",193745312,15/07/2021 11:30:00,
